time,u-speed,v-speed,pre_temp,humity,pressure,predict_speed,real_speed,theoryp,real_power
2016/5/17 18:30,6.08,0.86,8.34,83.07,887.47,6.140521151,11.93,48320.81,12266.51
2016/5/17 18:45,6.07,0.82,8.14,83.65,887.23,6.125136733,11.79,48588.36,12687.98
2016/5/17 19:00,5.8,0.83,8,84.13,887.3,5.85908696,12.29,49032.66,13023.88
2016/5/17 19:15,5.59,0.83,7.85,84.78,887.39,5.65128304,11.76,48385.25,12761.31
2016/5/17 19:30,5.27,1.09,7.69,85.58,887.25,5.38154253,12.15,49047.47,13748.06
2016/5/17 19:45,5.09,1.57,7.56,86.16,887.05,5.326631206,11.69,48933.49,15359.54
2016/5/17 20:00,5.04,1.77,7.45,86.51,887.04,5.34176937,10.7,46124.69,15770.96
2016/5/17 20:15,4.97,1.8,7.34,86.81,886.95,5.285915247,8.95,35613.26,14816.72
2016/5/17 20:30,4.83,1.8,7.21,87.16,886.87,5.154502886,8.02,28645.67,14751.04
2016/5/17 20:45,4.68,1.84,7.11,87.45,886.77,5.02871753,8.26,30436.63,14539.03
2016/5/17 21:00,4.53,1.76,7.06,87.67,886.68,4.85988683,8.66,33517.82,14650.02
2016/5/17 21:15,4.58,1.69,7.01,87.9,886.62,4.881854156,10.75,45901.99,15023.92
2016/5/17 21:30,4.62,1.44,6.97,88.29,886.67,4.839214812,11.64,48711.8,15281.97
2016/5/17 21:45,4.62,1.08,6.9,88.9,886.69,4.744554774,12.35,49565.99,15363.47
2016/5/17 22:00,4.56,0.78,6.81,89.67,886.77,4.626229566,12.7,49767.24,15361.64
2016/5/17 22:15,4.5,0.64,6.7,90.65,886.91,4.54528327,12.58,49782.23,15449.77
2016/5/17 22:30,4.45,0.69,6.61,91.52,886.99,4.503176657,11.49,48466.27,15783.41
2016/5/17 22:45,4.44,0.83,6.53,92.27,887.1,4.516912662,10.68,44943.92,15388.56
2016/5/17 23:00,4.26,1.12,6.46,92.76,887.13,4.404770142,10.13,41777.14,15426.67
2016/5/17 23:15,4.11,1.43,6.42,92.97,887.17,4.351666348,9.31,37365.54,16200.69
2016/5/17 23:30,3.99,1.49,6.39,93.19,887.21,4.259131367,10.17,42135.89,18242.48
2016/5/17 23:45,3.93,1.47,6.36,93.34,887.27,4.195926596,10.22,42878.24,17454.41
2016/5/18 0:00,3.96,1.47,6.4,92.79,887.32,4.224038352,8.3,30737.78,16448.03
2016/5/18 0:15,3.92,1.48,6.49,92.13,887.29,4.190083531,6.8,19656.91,12840.27
2016/5/18 0:30,4.24,1.38,6.57,91.18,887.04,4.458923637,5.97,13745.89,8756.83
2016/5/18 0:45,4.49,1.19,6.64,90.29,887.1,4.645018837,5.97,14002.71,9063.25
2016/5/18 1:00,4.58,0.99,6.67,89.66,887.32,4.68577635,6.46,17138.08,10808.89
2016/5/18 1:15,4.65,0.8,6.7,89.02,887.6,4.718315377,5.37,9809.03,6325.89
2016/5/18 1:30,4.81,0.57,6.69,88.61,887.88,4.843655644,5.21,8865.67,5583
2016/5/18 1:45,4.93,0.26,6.64,88.38,888.16,4.936851223,4.5,6115.41,3848.38
2016/5/18 2:00,4.92,0.09,6.56,88.36,888.38,4.920823102,2.72,1897.77,625.01
2016/5/18 2:15,4.81,-0.05,6.46,88.54,888.53,4.810259868,2.88,2202.5,886.29
2016/5/18 2:30,4.58,0.06,6.39,88.57,888.67,4.580392996,3.3,2772.23,1182.95
2016/5/18 2:45,4.33,0.52,6.38,88.33,888.73,4.361112243,2.83,1967.68,529.79
2016/5/18 3:00,4.57,0.56,6.39,87.9,888.9,4.604182881,3.15,2442.02,894.98
2016/5/18 3:15,4.62,0.79,6.43,87.13,889.05,4.687056646,3.6,3314.92,1766.21
2016/5/18 3:30,4.83,0.93,6.49,86.13,889.18,4.918719346,3.62,3314.64,1721.99
2016/5/18 3:45,5.15,1.06,6.57,84.76,889.3,5.257955877,3.8,3809.75,2024.99
2016/5/18 4:00,5.29,1.32,6.67,83.17,889.39,5.45220139,3.51,3212.79,1474.24
2016/5/18 4:15,5.69,1.48,6.78,81.47,889.47,5.879328193,3.61,3382.09,1656.53
2016/5/18 4:30,5.84,1.69,6.91,79.62,889.52,6.079613475,3.74,3712.98,1826.11
2016/5/18 4:45,5.96,1.6,7.12,76.72,889.56,6.171029088,4.56,6065.12,3646.36
2016/5/18 5:00,6.1,1.18,7.38,72.78,889.6,6.213082971,4.94,7475.77,4609.78
2016/5/18 5:15,6.12,0.47,7.66,68.54,889.68,6.138020854,4.92,7339,4653.17
2016/5/18 5:30,5.77,-0.17,7.95,64.4,889.75,5.77250379,4.62,6263.51,3795.48
2016/5/18 5:45,5.35,-0.74,8.29,58.62,889.75,5.400935104,4.71,6417.42,3967.24
2016/5/18 6:00,5.48,-1.82,8.69,51.54,889.8,5.774322471,4.77,6818.57,4117.64
2016/5/18 6:15,6.06,-3.11,8.82,49.74,889.78,6.811438908,4.82,6951.13,4248.67
2016/5/18 6:30,6.26,-3.13,8.81,50.79,889.74,6.99889277,4.66,6410.83,3917.03
2016/5/18 6:45,6.14,-3.03,8.86,50.8,889.8,6.84693362,4.27,4884.43,2929.35
2016/5/18 7:00,6.01,-3.19,8.94,49.89,889.8,6.804131098,4.84,7345.65,4420.18
2016/5/18 7:15,5.95,-3.43,9.04,48.54,889.88,6.867852648,5.54,10792.36,6630.4
2016/5/18 7:30,6.02,-3.57,9.11,46.91,890,6.998949921,4.91,8708.72,5035.01
2016/5/18 7:45,6.06,-3.57,9.18,44.71,890.22,7.033384676,4.34,5695.22,3310.29
2016/5/18 8:00,6,-3.42,9.25,41.71,890.32,6.906258032,4.34,5204.66,3160.85
2016/5/18 8:15,5.89,-3.28,9.34,38,890.34,6.741698599,4.78,7599.36,4427.96
2016/5/18 8:30,5.82,-3.15,9.46,33.98,890.38,6.617771528,5.48,10901.87,6631.42
2016/5/18 8:45,5.73,-3.03,9.59,30.28,890.35,6.481805304,5.41,10622.21,6636.94
2016/5/18 9:00,5.69,-3.09,9.74,27.41,890.33,6.47488996,4.93,8436.95,5294.22
2016/5/18 9:15,5.68,-3.41,9.88,25.67,890.38,6.624990566,5.3,10754.98,6560.4
2016/5/18 9:30,5.72,-3.85,9.94,25,890.38,6.894990935,6.87,20437.05,11932.26
2016/5/18 9:45,5.85,-4.09,9.97,24.85,890.44,7.137968899,8.04,28783.11,12270.15
2016/5/18 10:00,6.05,-4.22,10.01,24.98,890.52,7.376374448,8.24,30319.86,18492.83
2016/5/18 10:15,6.16,-4.66,10.05,25.36,890.63,7.724066287,8.4,31485.74,19647.97
2016/5/18 10:30,6.18,-5.37,10.02,25.73,890.71,8.187142359,8.42,31521.28,20861.11
2016/5/18 10:45,6.14,-5.88,9.93,26.21,890.9,8.501411647,9.09,36520.13,25324.3
2016/5/18 11:00,5.99,-6.2,9.82,26.85,891.06,8.620910625,9.3,38102.69,23772.98
2016/5/18 11:15,5.64,-6.43,9.71,27.51,891.24,8.553040395,9.49,39524.45,21687.64
2016/5/18 11:30,5.14,-6.56,9.6,28.18,891.42,8.33385865,8.64,33253.68,14775.6
2016/5/18 11:45,4.57,-6.5,9.45,28.91,891.58,7.94574729,7.4,23997.73,11154.46
2016/5/18 12:00,4.13,-6.42,9.33,29.36,891.77,7.633695042,8.79,34083.45,13168.37
2016/5/18 12:15,3.71,-6.14,9.18,30.16,891.88,7.173820461,10.37,44442.72,16307.84
2016/5/18 12:30,3.37,-5.8,9.02,31.11,891.81,6.707972868,9.46,39088.29,19391.86
2016/5/18 12:45,3.23,-5.55,8.86,31.48,892,6.42147958,9.88,41809.04,20107.54
2016/5/18 13:00,3.19,-5.63,8.72,31.04,892.14,6.470935017,10.07,42400.79,20678.62
2016/5/18 13:15,3.19,-5.87,8.62,30,892.32,6.680793366,10.22,43166.82,18308.57
2016/5/18 13:30,3.29,-6.13,8.54,28.62,892.43,6.957082722,10.16,42757.89,19408.3
2016/5/18 13:45,3.45,-6.46,8.49,27.2,892.5,7.323530569,9.65,40328.26,15326.22
2016/5/18 14:00,3.69,-6.78,8.47,26.13,892.56,7.719099688,9.91,41437.77,16652.64
2016/5/18 14:15,3.88,-6.99,8.46,25.49,892.64,7.994654464,9.68,39884.98,15020.5
2016/5/18 14:30,3.91,-7.02,8.48,25.16,892.72,8.035452694,9.37,38301.64,15985.57
2016/5/18 14:45,3.89,-6.96,8.52,24.98,892.86,7.973311734,9.25,37360.77,14825.22
2016/5/18 15:00,3.96,-6.9,8.55,24.86,892.96,7.9556018,9.14,36623.49,13652.82
2016/5/18 15:15,4.16,-6.84,8.6,24.76,893.06,8.005697971,9.26,37169.98,15056.55
2016/5/18 15:30,4.47,-6.71,8.62,24.75,893.16,8.062567829,10.5,44591.14,17385.84
2016/5/18 15:45,4.82,-6.42,8.61,24.84,893.23,8.028000997,10.48,44368.04,16446.69
2016/5/18 16:00,2.58,-6.52,7.74,33.27,895.81,7.011904164,10.16,42863.54,17812.02
2016/5/18 16:15,2.57,-7.08,7.7,33.45,895.72,7.532018322,9.75,40594.19,18728.15
2016/5/18 16:30,2.56,-7.48,7.66,33.75,895.7,7.905947129,10.01,42175.22,20913.1
2016/5/18 16:45,2.6,-7.57,7.61,34.15,895.77,8.004055222,10.34,43394.16,21530.24
2016/5/18 17:00,2.64,-7.33,7.53,34.6,895.87,7.790924207,9.61,39421.55,19506.94
2016/5/18 17:15,2.68,-6.89,7.45,35.1,895.97,7.392868185,9.2,36899.04,18943.84
2016/5/18 17:30,2.73,-6.34,7.35,35.66,896.11,6.902789291,9.4,37996.27,17283.24
2016/5/18 17:45,2.84,-5.79,7.24,36.21,896.22,6.449007676,9.65,39551.63,16484.47
2016/5/18 18:00,3.02,-5.32,7.13,36.72,896.32,6.117417756,10,41760.03,18576.41
2016/5/18 18:15,3.27,-4.79,6.95,37.46,896.27,5.799741374,9.62,39671.78,19330.77
2016/5/18 18:30,3.95,-2.66,6.46,39.83,895.99,4.762152874,9.98,41560.97,20668.94
2016/5/18 18:45,4.89,1.47,5.62,45.06,896.1,5.106172735,10.37,43809.85,22061.57
2016/5/18 19:00,5.54,3.58,5.02,50.44,896.36,6.59605943,9.72,40524.95,22303.95
2016/5/18 19:15,5.97,3.46,4.7,53.93,896.66,6.900181157,9.66,39521.28,23036.6
2016/5/18 19:30,6.15,3.4,4.53,55.8,896.83,7.027268317,9.15,36523.6,21914.25
2016/5/18 19:45,6.28,3.56,4.42,56.85,896.93,7.218864177,8.94,35281.27,22026.21
